ArchiveDate,Hospital_Name,Case_Type,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
27/01/2022,Bantry General Hospital,Day Case,Adult,45,17,2,2,67
27/01/2022,Beaumont Hospital,Day Case,Adult,"3,059",552,12,2,"3,625"
27/01/2022,Cavan General Hospital,Day Case,Adult,345,15,18,104,482
27/01/2022,Connolly Hospital Blanchardstown,Day Case,Adult,622,95,4,0,722
27/01/2022,Coombe Women and Infants University Hospital,Day Case,Adult,148,37,22,2,209
27/01/2022,Cork University Hospital,Day Case,Adult,433,146,81,144,804
27/01/2022,Cork University Maternity Hospital,Day Case,Adult,157,53,30,16,256
27/01/2022,Croom Orthopaedic Hospital,Day Case,Adult,317,80,40,31,468
27/01/2022,Ennis Hospital,Day Case,Adult,137,32,2,0,171
27/01/2022,Galway University Hospitals,Day Case,Adult,"3,354","1,195",785,"1,044","6,378"
27/01/2022,Kilcreene Regional Orthopaedic Hospital,Day Case,Adult,109,2,0,0,111
27/01/2022,Letterkenny University Hospital,Day Case,Adult,"1,029",273,326,464,"2,092"
27/01/2022,Louth County Hospital,Day Case,Adult,422,39,10,2,473
27/01/2022,Mallow General Hospital,Day Case,Adult,116,25,16,13,170
27/01/2022,Mater Misericordiae University Hospital,Day Case,Adult,"2,642",632,241,571,"4,086"
27/01/2022,Mayo University Hospital,Day Case,Adult,559,156,78,259,"1,052"
27/01/2022,Mercy University Hospital,Day Case,Adult,643,198,89,164,"1,094"
27/01/2022,Midland Regional Hospital Mullingar,Day Case,Adult,553,272,123,68,"1,016"
27/01/2022,Midland Regional Hospital Portlaoise,Day Case,Adult,254,111,87,87,539
27/01/2022,Midland Regional Hospital Tullamore,Day Case,Adult,474,120,47,73,714
27/01/2022,Naas General Hospital,Day Case,Adult,165,31,16,15,227
27/01/2022,National Orthopaedic Hospital Cappagh,Day Case,Adult,401,16,4,2,424
27/01/2022,Nenagh Hospital,Day Case,Adult,271,46,43,172,532
27/01/2022,Our Lady of Lourdes Hospital Drogheda,Day Case,Adult,276,69,2,0,347
27/01/2022,Our Lady's Hospital Navan,Day Case,Adult,587,144,29,11,771
27/01/2022,Portiuncula University Hospital,Day Case,Adult,369,93,29,11,502
27/01/2022,Roscommon University Hospital,Day Case,Adult,414,171,65,100,750
27/01/2022,Royal Victoria Eye and Ear Hospital,Day Case,Adult,"1,348",162,70,46,"1,626"
27/01/2022,Sligo University Hospital,Day Case,Adult,"1,337",378,228,135,"2,078"
27/01/2022,South Infirmary Victoria University Hospital,Day Case,Adult,"1,526",391,198,43,"2,158"
27/01/2022,St. Columcille's Hospital,Day Case,Adult,550,173,33,22,778
27/01/2022,St. James's Hospital,Day Case,Adult,"2,086",742,357,746,"3,931"
27/01/2022,St. John's Hospital Limerick,Day Case,Adult,348,134,131,176,789
27/01/2022,St. Luke's General Hospital Kilkenny,Day Case,Adult,320,173,53,62,608
27/01/2022,St. Michael's Hospital,Day Case,Adult,24,0,2,2,28
27/01/2022,St. Vincent's University Hospital,Day Case,Adult,"1,470",432,246,159,"2,307"
27/01/2022,Tallaght University Hospital,Day Case,Adult,"1,581",377,82,118,"2,158"
27/01/2022,Tipperary University Hospital,Day Case,Adult,144,41,0,0,185
27/01/2022,University Hospital Kerry,Day Case,Adult,195,107,51,46,399
27/01/2022,University Hospital Limerick,Day Case,Adult,956,271,121,146,"1,494"
27/01/2022,University Hospital Waterford,Day Case,Adult,"2,345",546,320,896,"4,107"
27/01/2022,Wexford General Hospital,Day Case,Adult,672,205,69,29,975
27/01/2022,Beaumont Hospital,Inpatient,Adult,959,474,25,16,"1,474"
27/01/2022,Cavan General Hospital,Inpatient,Adult,21,0,0,0,21
27/01/2022,Connolly Hospital Blanchardstown,Inpatient,Adult,214,10,2,0,226
27/01/2022,Coombe Women and Infants University Hospital,Inpatient,Adult,31,11,2,0,44
27/01/2022,Cork University Hospital,Inpatient,Adult,219,69,68,70,426
27/01/2022,Cork University Maternity Hospital,Inpatient,Adult,83,35,36,50,204
27/01/2022,Croom Orthopaedic Hospital,Inpatient,Adult,207,96,30,6,339
27/01/2022,Galway University Hospitals,Inpatient,Adult,897,387,235,969,"2,488"
27/01/2022,Kilcreene Regional Orthopaedic Hospital,Inpatient,Adult,208,9,0,0,217
27/01/2022,Letterkenny University Hospital,Inpatient,Adult,211,90,65,160,526
27/01/2022,Mater Misericordiae University Hospital,Inpatient,Adult,807,265,129,387,"1,588"
27/01/2022,Mayo University Hospital,Inpatient,Adult,119,35,36,90,280
27/01/2022,Mercy University Hospital,Inpatient,Adult,145,30,19,39,233
27/01/2022,Midland Regional Hospital Mullingar,Inpatient,Adult,4,15,2,0,21
27/01/2022,Midland Regional Hospital Portlaoise,Inpatient,Adult,19,8,4,2,33
27/01/2022,Midland Regional Hospital Tullamore,Inpatient,Adult,284,114,37,117,552
27/01/2022,National Orthopaedic Hospital Cappagh,Inpatient,Adult,879,179,19,18,"1,095"
27/01/2022,Our Lady of Lourdes Hospital Drogheda,Inpatient,Adult,386,129,36,2,553
27/01/2022,Our Lady's Hospital Navan,Inpatient,Adult,194,43,28,36,301
27/01/2022,Royal Victoria Eye and Ear Hospital,Inpatient,Adult,177,35,22,20,254
27/01/2022,Sligo University Hospital,Inpatient,Adult,375,140,95,132,742
27/01/2022,Small Volume Hospitals,Inpatient,Adult,22,2,2,2,28
27/01/2022,South Infirmary Victoria University Hospital,Inpatient,Adult,190,33,15,43,281
27/01/2022,St. James's Hospital,Inpatient,Adult,592,356,209,611,"1,768"
27/01/2022,St. John's Hospital Limerick,Inpatient,Adult,301,79,74,79,533
27/01/2022,St. Luke's General Hospital Kilkenny,Inpatient,Adult,30,16,4,7,57
27/01/2022,St. Michael's Hospital,Inpatient,Adult,582,148,45,38,813
27/01/2022,St. Vincent's University Hospital,Inpatient,Adult,586,168,74,173,"1,001"
27/01/2022,Tallaght University Hospital,Inpatient,Adult,441,201,112,223,977
27/01/2022,Tipperary University Hospital,Inpatient,Adult,24,4,2,0,30
27/01/2022,University Hospital Kerry,Inpatient,Adult,134,59,28,34,255
27/01/2022,University Hospital Limerick,Inpatient,Adult,211,80,45,78,414
27/01/2022,University Hospital Waterford,Inpatient,Adult,114,41,34,81,270
27/01/2022,Wexford General Hospital,Inpatient,Adult,17,4,4,0,25
27/01/2022,Cavan General Hospital,Day Case,Child,74,19,34,91,218
27/01/2022,Children's Health Ireland,Day Case,Child,"1,551",572,298,461,"2,882"
27/01/2022,Cork University Hospital,Day Case,Child,39,14,9,15,77
27/01/2022,Galway University Hospitals,Day Case,Child,157,58,41,64,320
27/01/2022,Letterkenny University Hospital,Day Case,Child,29,4,9,16,59
27/01/2022,Mercy University Hospital,Day Case,Child,83,13,8,2,106
27/01/2022,Midland Regional Hospital Tullamore,Day Case,Child,47,2,0,0,49
27/01/2022,National Orthopaedic Hospital Cappagh,Day Case,Child,39,12,0,0,51
27/01/2022,Nenagh Hospital,Day Case,Child,24,4,0,0,28
27/01/2022,Our Lady of Lourdes Hospital Drogheda,Day Case,Child,46,2,4,2,55
27/01/2022,Portiuncula University Hospital,Day Case,Child,24,2,2,2,31
27/01/2022,Royal Victoria Eye and Ear Hospital,Day Case,Child,38,4,2,9,54
27/01/2022,Sligo University Hospital,Day Case,Child,52,13,7,2,75
27/01/2022,Small Volume Hospitals,Day Case,Child,68,11,7,7,92
27/01/2022,South Infirmary Victoria University Hospital,Day Case,Child,69,9,2,5,85
27/01/2022,University Hospital Limerick,Day Case,Child,75,32,7,26,140
27/01/2022,University Hospital Waterford,Day Case,Child,73,4,2,11,91
27/01/2022,Beaumont Hospital,Inpatient,Child,8,15,2,0,25
27/01/2022,Children's Health Ireland,Inpatient,Child,"1,101",735,427,678,"2,941"
27/01/2022,Galway University Hospitals,Inpatient,Child,39,19,4,11,73
27/01/2022,Midland Regional Hospital Mullingar,Inpatient,Child,28,9,0,0,37
27/01/2022,Midland Regional Hospital Tullamore,Inpatient,Child,110,2,0,0,112
27/01/2022,National Orthopaedic Hospital Cappagh,Inpatient,Child,139,29,15,19,202
27/01/2022,Our Lady of Lourdes Hospital Drogheda,Inpatient,Child,34,8,0,0,42
27/01/2022,Sligo University Hospital,Inpatient,Child,25,4,4,11,43
27/01/2022,Small Volume Hospitals,Inpatient,Child,34,9,9,13,65
27/01/2022,South Infirmary Victoria University Hospital,Inpatient,Child,24,4,0,0,27
27/01/2022,University Hospital Kerry,Inpatient,Child,15,7,0,2,24
27/01/2022,University Hospital Limerick,Inpatient,Child,14,2,2,5,23
27/01/2022,University Hospital Waterford,Inpatient,Child,19,0,0,2,21
24/02/2022,Bantry General Hospital,Day Case,Adult,60,19,2,2,84
24/02/2022,Beaumont Hospital,Day Case,Adult,"3,051",660,22,9,"3,742"
24/02/2022,Cavan General Hospital,Day Case,Adult,323,5,0,0,328
24/02/2022,Connolly Hospital Blanchardstown,Day Case,Adult,709,110,2,2,824
24/02/2022,Coombe Women and Infants University Hospital,Day Case,Adult,142,59,18,2,221
24/02/2022,Cork University Hospital,Day Case,Adult,539,140,83,147,909
24/02/2022,Cork University Maternity Hospital,Day Case,Adult,155,33,19,12,219
24/02/2022,Croom Orthopaedic Hospital,Day Case,Adult,245,72,27,20,364
24/02/2022,Ennis Hospital,Day Case,Adult,175,38,7,6,226
24/02/2022,Galway University Hospitals,Day Case,Adult,"3,426","1,277",762,"1,072","6,537"
24/02/2022,Kilcreene Regional Orthopaedic Hospital,Day Case,Adult,135,6,0,0,141
24/02/2022,Letterkenny University Hospital,Day Case,Adult,"1,041",307,276,483,"2,107"
24/02/2022,Louth County Hospital,Day Case,Adult,432,45,9,2,489
24/02/2022,Mallow General Hospital,Day Case,Adult,149,27,15,15,206
24/02/2022,Mater Misericordiae University Hospital,Day Case,Adult,"2,822",648,249,567,"4,286"
24/02/2022,Mayo University Hospital,Day Case,Adult,583,161,78,229,"1,051"
24/02/2022,Mercy University Hospital,Day Case,Adult,645,183,90,185,"1,103"
24/02/2022,Midland Regional Hospital Mullingar,Day Case,Adult,525,304,106,66,"1,001"
24/02/2022,Midland Regional Hospital Portlaoise,Day Case,Adult,153,101,65,91,410
24/02/2022,Midland Regional Hospital Tullamore,Day Case,Adult,423,110,31,51,615
24/02/2022,Naas General Hospital,Day Case,Adult,167,24,12,10,213
24/02/2022,National Orthopaedic Hospital Cappagh,Day Case,Adult,396,11,2,2,412
24/02/2022,Nenagh Hospital,Day Case,Adult,265,51,40,100,456
24/02/2022,Our Lady of Lourdes Hospital Drogheda,Day Case,Adult,372,98,13,0,483
24/02/2022,Our Lady's Hospital Navan,Day Case,Adult,612,193,26,10,841
24/02/2022,Portiuncula University Hospital,Day Case,Adult,403,113,27,27,570
24/02/2022,Roscommon University Hospital,Day Case,Adult,401,152,75,110,738
24/02/2022,Royal Victoria Eye and Ear Hospital,Day Case,Adult,"1,056",137,59,37,"1,289"
24/02/2022,Sligo University Hospital,Day Case,Adult,"1,347",442,223,149,"2,161"
24/02/2022,South Infirmary Victoria University Hospital,Day Case,Adult,"1,543",354,207,43,"2,147"
24/02/2022,St. Columcille's Hospital,Day Case,Adult,549,178,32,22,781
24/02/2022,St. James's Hospital,Day Case,Adult,"2,136",721,362,748,"3,967"
24/02/2022,St. John's Hospital Limerick,Day Case,Adult,317,137,122,175,751
24/02/2022,St. Luke's General Hospital Kilkenny,Day Case,Adult,304,162,42,43,551
24/02/2022,St. Michael's Hospital,Day Case,Adult,8,9,2,2,22
24/02/2022,St. Vincent's University Hospital,Day Case,Adult,"1,546",427,257,174,"2,404"
24/02/2022,Tallaght University Hospital,Day Case,Adult,"1,707",338,73,108,"2,226"
24/02/2022,Tipperary University Hospital,Day Case,Adult,81,16,0,0,97
24/02/2022,University Hospital Kerry,Day Case,Adult,203,107,61,57,428
24/02/2022,University Hospital Limerick,Day Case,Adult,881,275,126,116,"1,398"
24/02/2022,University Hospital Waterford,Day Case,Adult,"2,481",567,282,898,"4,228"
24/02/2022,Wexford General Hospital,Day Case,Adult,591,237,55,24,907
24/02/2022,Beaumont Hospital,Inpatient,Adult,"1,073",498,51,51,"1,673"
24/02/2022,Cavan General Hospital,Inpatient,Adult,20,0,0,0,20
24/02/2022,Connolly Hospital Blanchardstown,Inpatient,Adult,271,11,0,0,282
24/02/2022,Coombe Women and Infants University Hospital,Inpatient,Adult,31,7,3,0,41
24/02/2022,Cork University Hospital,Inpatient,Adult,243,76,68,74,461
24/02/2022,Cork University Maternity Hospital,Inpatient,Adult,75,30,32,44,181
24/02/2022,Croom Orthopaedic Hospital,Inpatient,Adult,181,84,25,8,298
24/02/2022,Galway University Hospitals,Inpatient,Adult,906,402,231,962,"2,501"
24/02/2022,Kilcreene Regional Orthopaedic Hospital,Inpatient,Adult,246,12,3,2,263
24/02/2022,Letterkenny University Hospital,Inpatient,Adult,233,105,58,177,573
24/02/2022,Mater Misericordiae University Hospital,Inpatient,Adult,842,284,132,398,"1,656"
24/02/2022,Mayo University Hospital,Inpatient,Adult,135,32,34,89,290
24/02/2022,Mercy University Hospital,Inpatient,Adult,137,31,18,40,226
24/02/2022,Midland Regional Hospital Mullingar,Inpatient,Adult,3,16,2,0,21
24/02/2022,Midland Regional Hospital Portlaoise,Inpatient,Adult,22,8,3,2,35
24/02/2022,Midland Regional Hospital Tullamore,Inpatient,Adult,260,118,41,116,535
